glyph_name,ps_name,sort_design,sort_final,in_g,in_k,usv,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
caps_1,uniE020,4003.1,4003.1,Y,Y,U+E020,D,caps_1,,,,
alt,uniE000,4101,4101,Y,Y,U+E000,D,alt,,,,
alt_1,uniE019,4101.1,4101.1,Y,Y,U+E019,D,alt_1,,,,
ctrl,uniE001,4102,4102,Y,Y,U+E001,D,ctrl,,,,
altctrl,uniE002,4103,4103,Y,Y,U+E002,D,altctrl,,,,
left_alt,uniE056,4104,4104,Y,Y,U+E056,D,left_alt,,,,
right_alt,uniE057,4105,4105,Y,Y,U+E057,D,right_alt,,,,
left_ctrl,uniE058,4106,4106,Y,Y,U+E058,D,left_ctrl,,,,
right_ctrl,uniE059,4107,4107,Y,Y,U+E059,D,right_ctrl,,,,
left_alt_ctrl,uniE060,4108,4108,Y,Y,U+E060,D,left_alt_ctrl,,,,
right_alt_ctrl,uniE061,4109,4109,Y,Y,U+E061,D,right_alt_ctrl,,,,
left_alt_ctrl_shift,uniE062,4110,4110,Y,Y,U+E062,D,left_alt_ctrl_shift,,,,
right_alt_ctrl_shift,uniE063,4111,4111,Y,Y,U+E063,D,right_alt_ctrl_shift,,,,
shift_alt,uniE064,4112,4112,Y,Y,U+E064,D,shift_alt,,,,
shift_ctrl,uniE065,4113,4113,Y,Y,U+E065,D,shift_ctrl,,,,
shift_alt_ctrl,uniE066,4114,4114,Y,Y,U+E066,D,shift_alt_ctrl,,,,
left_alt_shift,uniE067,4115,4115,Y,Y,U+E067,D,left_alt_shift,,,,
right_alt_shift,uniE068,4116,4116,Y,Y,U+E068,D,right_alt_shift,,,,
left_ctrl_shift,uniE069,4117,4117,Y,Y,U+E069,D,left_ctrl_shift,,,,
right_ctrl_shift,uniE070,4118,4118,Y,Y,U+E070,D,right_ctrl_shift,,,,
symbols,uniE015,4151,4151,Y,Y,U+E015,D,symbols,,,,
digits,uniE013,4152,4152,Y,Y,U+E013,D,digits,,,,
currencies,uniE014,4153,4153,Y,Y,U+E014,D,currencies,,,,
shift,uniE008,4201,4201,Y,Y,U+E008,D,shift,,,,
shifted,uniE009,4202,4202,Y,Y,U+E009,D,shifted,,,,
shift_lock,uniE073,4203,4203,Y,Y,U+E073,D,shift_lock,,,,
shifted_lock,uniE074,4204,4204,Y,Y,U+E074,D,shifted_lock,,,,
back,uniE004,4301,4301,Y,Y,U+E004,D,back,,,,
back_1,uniE021,4301.1,4301.1,Y,Y,U+E021,D,back_1,,,,
back_2,uniE022,4301.2,4301.2,Y,Y,U+E022,D,back_2,,,,
back_rev,uniE072,4301.9,4301.9,Y,Y,U+E072,D,back_rev,,,,
enter,uniE005,4311,4311,Y,Y,U+E005,D,enter,,,,
enter_rev,uniE071,4311.9,4311.9,Y,Y,U+E071,D,enter_rev,,,,
next,uniE006,4312,4312,Y,Y,U+E006,D,next,,,,
previous,uniE007,4313,4313,Y,Y,U+E007,D,previous,,,,
hide,uniE00A,4321,4321,Y,Y,U+E00A,D,hide,,,,
download,uniE035,4322,4322,Y,Y,U+E035,D,download,,,,
download_1,uniE045,4322.5,4322.5,Y,Y,U+E045,D,download_1,,,,
download_2,uniE055,4322.6,4322.6,Y,Y,U+E055,D,download_2,,,,
close,uniE025,4401,4401,Y,Y,U+E025,D,close,,,,
close_1,uniE027,4401.5,4401.5,Y,Y,U+E027,D,close_1,,,,
resize,uniE023,4402,4402,Y,Y,U+E023,D,resize,,,,
resize_1,uniE028,4402.5,4402.5,Y,Y,U+E028,D,resize_1,,,,
pin,uniE024,4403,4403,Y,Y,U+E024,D,pin,,,,
pin_1,uniE026,4403.5,4403.5,Y,Y,U+E026,D,pin_1,,,,
info,uniE031,4411,4411,Y,Y,U+E031,D,info,,,,
info_1,uniE041,4411.5,4411.5,Y,Y,U+E041,D,info_1,,,,
info_2,uniE051,4411.6,4411.6,Y,Y,U+E051,D,info_2,,,,
help,uniE032,4412,4412,Y,Y,U+E032,D,help,,,,
help_1,uniE042,4412.5,4412.5,Y,Y,U+E042,D,help_1,,,,
help_2,uniE052,4412.6,4412.6,Y,Y,U+E052,D,help_2,,,,
gearwheel,uniE030,4451,4451,Y,Y,U+E030,D,gearwheel,,,,
globe,uniE00B,4461,4461,Y,Y,U+E00B,D,globe,,,,
facebook,uniE033,4501,4501,Y,Y,U+E033,D,facebook,,,,
facebook_1,uniE043,4501.5,4501.5,Y,Y,U+E043,D,facebook_1,,,,
facebook_2,uniE053,4501.6,4501.6,Y,Y,U+E053,D,facebook_2,,,,
twitter,uniE034,4502,4502,Y,Y,U+E034,D,twitter,,,,
twitter_1,uniE044,4502.5,4502.5,Y,Y,U+E044,D,twitter_1,,,,
twitter_2,uniE054,4502.6,4502.6,Y,Y,U+E054,D,twitter_2,,,,
exclam,exclam,7004,4,,Y,U+0021,D,EXCLAMATION MARK,U+0021,,,
quotedbl,quotedbl,7005,5,,Y,U+0022,D,QUOTATION MARK,U+0022,,,
numbersign,numbersign,7006,6,,Y,U+0023,D,NUMBER SIGN,U+0023,,,
dollar,dollar,7007,7,,Y,U+0024,D,DOLLAR SIGN,U+0024,,,
percent,percent,7008,8,,Y,U+0025,D,PERCENT SIGN,U+0025,,,
ampersand,ampersand,7009,9,,Y,U+0026,D,AMPERSAND,U+0026,,,
quotesingle,quotesingle,7010,10,,Y,U+0027,D,APOSTROPHE,U+0027,,,
parenleft,parenleft,7011,11,,Y,U+0028,D,LEFT PARENTHESIS,U+0028,,,
parenright,parenright,7012,12,,Y,U+0029,D,RIGHT PARENTHESIS,U+0029,,,
asterisk,asterisk,7013,13,,Y,U+002A,D,ASTERISK,U+002A,,,
plus,plus,7014,14,,Y,U+002B,D,PLUS SIGN,U+002B,,,
